clip_name,absolute_time,time_in_clip,duration,midi_pitch,note_name,velocity,is_enabled,clip_start,clip_end,note_id
Funk Straight Beat 01 16th HH Closed (Clean),13.5,13.5,0.12083333333333333,49,C#3,16,True,0.0,16.0,75
Funk Straight Beat 01 16th HH Closed (Clean),13.75,13.75,0.12083333333333333,49,C#3,28,True,0.0,16.0,76
Funk Straight Beat 01 16th HH Closed (Clean),13.7625,13.7625,0.12083333333333333,36,C2,26,True,0.0,16.0,77
bass,14.0,14.0,0.25,38,D2,100,False,0.0,16.0,33
Funk Straight Beat 01 16th HH Closed (Clean),14.0,14.0,0.12083333333333333,36,C2,80,True,0.0,16.0,79
Funk Straight Beat 01 16th HH Closed (Clean),14.0,14.0,0.12083333333333333,51,D#3,64,True,0.0,16.0,78
Funk Straight Beat 01 16th HH Closed (Clean),14.25,14.25,0.12083333333333333,49,C#3,9,True,0.0,16.0,80
Funk Straight Beat 01 16th HH Closed (Clean),14.497916666666667,14.497916666666667,0.12083333333333333,36,C2,80,True,0.0,16.0,81
bass,14.5,14.5,0.25,38,D2,100,True,0.0,16.0,34
Funk Straight Beat 01 16th HH Closed (Clean),14.5,14.5,0.12083333333333333,49,C#3,16,True,0.0,16.0,82
Funk Straight Beat 01 16th HH Closed (Clean),14.75,14.75,0.12083333333333333,49,C#3,28,True,0.0,16.0,83
bass,15.0,15.0,0.25,38,D2,100,True,0.0,16.0,35
Funk Straight Beat 01 16th HH Closed (Clean),15.0,15.0,0.12083333333333333,38,D2,109,True,0.0,16.0,85
Funk Straight Beat 01 16th HH Closed (Clean),15.0,15.0,0.12083333333333333,51,D#3,29,True,0.0,16.0,84
bass,15.25,15.25,0.25,38,D2,100,True,0.0,16.0,36
Funk Straight Beat 01 16th HH Closed (Clean),15.25,15.25,0.12083333333333333,36,C2,80,True,0.0,16.0,87
Funk Straight Beat 01 16th HH Closed (Clean),15.25,15.25,0.12083333333333333,49,C#3,22,True,0.0,16.0,86
bass,15.5,15.5,0.25,38,D2,100,True,0.0,16.0,37
Funk Straight Beat 01 16th HH Closed (Clean),15.5,15.5,0.12083333333333333,49,C#3,29,True,0.0,16.0,88
Funk Straight Beat 01 16th HH Closed (Clean),15.75,15.75,0.12083333333333333,36,C2,23,True,0.0,16.0,89
Funk Straight Beat 01 16th HH Closed (Clean),15.75,15.75,0.12083333333333333,49,C#3,41,True,0.0,16.0,90
